STATE,02-03,01-02,00-01,99-00,98-99,97-98,96-97,95-96,94-95,93-94,92-93,91-92,90-91
AK,1290,1098,1086,995,915,862,772,674,593,525,399,349,206
AL,40,30,30,30,39,25,28,36,36,21,10,8,4
AR,16,16,11,10,8,11,12,4,3,3,1,1,1
AZ,377,416,383,277,189,140,108,93,121,105,63,31,15
CA,1143,1056,1044,1093,1001,960,820,822,701,519,277,173,122
CO,1465,1300,1070,981,844,619,431,367,315,273,178,185,94
CT,1612,1456,1355,1290,1010,860,818,751,705,526,420,381,264
DC,77,70,69,47,41,41,28,20,28,16,16,10,18
DE,66,49,49,45,37,14,11,12,11,8,6,7,9
FL,408,358,260,254,222,166,201,124,99,65,31,22,6
GA,93,67,70,59,18,14,18,28,22,16,8,8,7
HI,12,13,14,12,12,9,3,5,0,0,1,0,1
IA,186,152,141,146,111,122,108,65,77,49,21,22,14
ID,311,325,323,302,258,195,108,89,81,63,83,31,18
IL,1770,1393,1326,1308,1186,997,861,693,591,380,282,221,187
IN,314,255,212,235,230,179,153,160,117,85,62,71,40
KS,65,65,67,85,61,45,29,31,27,18,5,5,3
KY,87,68,50,28,25,22,24,23,19,19,22,11,32
LA,44,41,52,59,52,35,4,1,2,0,0,1,0
MA,6153,5744,5218,4770,4540,3712,3404,3208,2693,2058,1730,1475,1268
MD,600,502,452,361,261,250,228,182,178,120,78,74,56
ME,1062,1019,834,656,646,541,486,435,646,468,485,462,92
MI,3987,3759,3636,3463,3117,2615,2523,2173,1776,1287,947,737,610
MN,8330,7790,7352,6951,6517,5668,5098,4373,2940,1970,1266,1088,961
MO,217,229,206,188,124,119,93,105,116,108,59,41,38
MS,21,13,22,14,12,8,3,0,0,1,0,0,0
MT,387,355,313,286,238,195,168,160,128,91,44,30,18
NC,227,226,219,181,122,98,82,105,66,32,39,29,16
ND,655,641,584,552,448,350,307,251,152,89,81,54,44
NE,48,55,54,66,68,24,19,16,14,14,13,8,6
NH,1042,941,1014,940,775,559,506,455,405,313,282,228,110
NJ,896,804,785,783,727,685,561,495,451,332,279,203,178
NM,105,94,91,97,121,89,71,36,27,25,24,10,14
NV,27,33,31,44,20,12,18,16,26,29,12,6,4
NY,3835,3627,3465,3376,3197,2865,2597,2401,2085,1684,1289,1013,786
OH,684,652,647,557,583,486,460,457,417,296,187,111,187
OK,19,21,22,40,34,27,24,26,17,9,2,2,2
OR,126,100,111,117,116,64,65,67,73,62,40,38,39
PA,1417,1301,1135,927,836,708,644,561,505,294,182,129,117
RI,615,554,537,504,434,343,342,308,291,212,214,174,148
SC,49,56,33,28,26,18,22,27,15,5,2,1,0
SD,248,239,224,197,135,85,72,65,66,33,31,25,14
TN,90,75,77,27,38,33,38,32,31,22,8,8,9
TX,288,328,311,311,250,200,111,88,65,38,24,18,14
UT,281,228,204,177,157,122,89,93,54,41,29,28,28
VA,389,429,326,280,192,165,144,115,88,53,27,17,23
VT,1109,889,923,867,893,767,668,473,417,315,251,136,98
WA,563,517,491,490,408,354,331,375,340,260,210,111,105
WI,2784,2511,2464,2255,2073,1643,1340,1285,1007,712,535,371,201
WV,81,78,77,76,85,87,94,106,109,123,119,100,82
WY,260,254,223,191,187,138,108,82,95,54,42,27,27
TOTAL,45971,42292,39693,37028,33639,28346,25253,22569,18841,13841,10416,8291,6336
